,O2
2018-05-11,2.7715008788177555
2018-05-14,2.7650648086941194
2018-05-15,2.776388684191572
2018-05-16,2.777329757041168
2018-05-17,2.7675168959743375
2018-05-18,2.7914720464114184
2018-05-21,2.8129959478761073
2018-05-22,2.8175408147497154
2018-05-23,2.7900334447582233
2018-05-24,2.7872832116614155
2018-05-25,2.758195099037357
2018-05-28,2.738822272691757
2018-05-29,2.7243817367434944
2018-05-30,2.6421272034998258
2018-05-31,2.66715265359131
2018-06-01,2.6470483424787505
2018-06-04,2.649156434539186
2018-06-05,2.678141370228015
2018-06-06,2.678129221013708
2018-06-07,2.658196360412435
2018-06-08,2.621076412986098
2018-06-11,2.6075100962407225
2018-06-12,2.6262588406174445
2018-06-13,2.59219513454165
2018-06-14,2.58569420235169
2018-06-15,2.5463462018483396
2018-06-19,2.39218542688726
2018-06-20,2.4138097166011185
2018-06-21,2.3747947014366746
2018-06-22,2.3962060324580934
2018-06-25,2.377439668494174
2018-06-26,2.377588276650957
2018-06-27,2.3670456847701997
2018-06-28,2.3394987652286696
2018-06-29,2.3893560982821302
2018-07-02,2.3486515891700144
2018-07-03,2.363630395514289
2018-07-04,2.3359926119086873
2018-07-05,2.2712687805758707
2018-07-06,2.2812684705566215
2018-07-09,2.3272104941286864
2018-07-10,2.3499352268993783
2018-07-11,2.3105181683444593
2018-07-12,2.364955858229466
2018-07-13,2.3680879613712227
2018-07-16,2.3702265407298393
2018-07-17,2.378856406898376
2018-07-18,2.375211516781213
2018-07-19,2.3623872364481517
2018-07-20,2.389634443942144
2018-07-23,2.4166666674492854
2018-07-24,2.4644983547989825
2018-07-25,2.4674687676826483
2018-07-26,2.464892026317759
2018-07-27,2.4499220288863213
2018-07-30,2.436843085701179
2018-07-31,2.438687818481288
2018-08-01,2.400997332592385
2018-08-02,2.3526833926166377
2018-08-03,2.346242179128466
2018-08-06,2.306196913676916
2018-08-07,2.3680510704139355
2018-08-08,2.332118100525827
2018-08-09,2.3720735688531414
2018-08-10,2.380574026486181
2018-08-13,2.3833728465198663
2018-08-14,2.378041308234334
2018-08-15,2.333729773882473
2018-08-16,2.3079651320672534
2018-08-17,2.2742975832545675
2018-08-20,2.2849269741827323
2018-08-21,2.305310446072052
2018-08-22,2.2818844627929997
2018-08-23,2.290470227305662
2018-08-24,2.288327092422112
2018-08-27,2.3302005864917965
2018-08-28,2.333897269176098
2018-08-29,2.3258763079484863
2018-08-30,2.299986177285936
2018-08-31,2.283190295433859
2018-09-03,2.289602766001812
2018-09-04,2.30726600745653
2018-09-05,2.275042600484427
2018-09-06,2.2694371213261975
2018-09-07,2.2700765758130026
2018-09-10,2.2414140886019673
2018-09-11,2.2441816079726298
2018-09-12,2.2452234700997056
2018-09-13,2.267238950033301
2018-09-14,2.2548233862452145
2018-09-17,2.224342516818192
2018-09-18,2.2560433976643033
2018-09-19,2.2789146049232243
2018-09-20,2.2736351545408593
2018-09-21,2.3068470193733703
2018-09-25,2.2972924920036486
2018-09-26,2.307866091874872
2018-09-27,2.280714357641969
2018-09-28,2.2966665427796626
2018-10-08,2.235116779820298
2018-10-09,2.2375837269594174
2018-10-10,2.239488303069424
2018-10-11,2.0793443187608385
2018-10-12,2.066635794931249
2018-10-15,2.0339974627562185
2018-10-16,1.9908137407024744
2018-10-17,2.0053256420853875
2018-10-18,1.9582110372522106
2018-10-19,1.993575881128244
2018-10-22,2.092418338933799
2018-10-23,2.052025885546379
2018-10-24,2.0630679780856926
2018-10-25,2.0593320836513254
2018-10-26,2.0753808072217454
2018-10-29,2.0419179375957635
2018-10-30,2.058405808756296
2018-10-31,2.0902099359118234
2018-11-01,2.0954573904593805
2018-11-02,2.1533725413829523
2018-11-05,2.1668862840158387
2018-11-06,2.1786913553778726
2018-11-07,2.1761084754258575
2018-11-08,2.165671500817356
2018-11-09,2.1571164019959435
2018-11-12,2.2099254902271173
2018-11-13,2.24711651054027
2018-11-14,2.2458723453670366
2018-11-15,2.275059498533588
2018-11-16,2.310023290389354
2018-11-19,2.328614869618653
2018-11-20,2.2626273084665045
2018-11-21,2.2810360304265975
2018-11-22,2.2840960471249607
2018-11-23,2.1869136627094177
2018-11-26,2.1901361469338316
2018-11-27,2.20417812584145
2018-11-28,2.2402038904101116
2018-11-29,2.2012281996077494
2018-11-30,2.213065787593013
2018-12-03,2.2805086447583434
2018-12-04,2.292795447395219
2018-12-05,2.2831849304056346
2018-12-06,2.2454834210543257
2018-12-07,2.2416802130105378
2018-12-10,2.2199347841389194
2018-12-11,2.225524748815134
2018-12-12,2.2225752512337373
2018-12-13,2.246045815518961
2018-12-14,2.1870959434385675
2018-12-17,2.1889033604840322
2018-12-18,2.1801315499712204
2018-12-19,2.154888218916604
2018-12-20,2.167914247803516
2018-12-21,2.1475801139919537
2018-12-24,2.169026193444374
2018-12-25,2.145440027579934
2018-12-26,2.1554184949171056
2018-12-27,2.1272874502505235
2018-12-28,2.1394293877521946
2019-01-02,2.130092441950175
2019-01-03,2.1249604247183873
2019-01-04,2.1673040950414593
2019-01-07,2.2082235731539317
2019-01-08,2.1986306830854305
2019-01-09,2.2060222532584177
2019-01-10,2.1982922395553133
2019-01-11,2.212460415379362
2019-01-14,2.2076284343404486
2019-01-15,2.2239172079604144
2019-01-16,2.2219386118627567
2019-01-17,2.212445520235443
2019-01-18,2.2335889854654347
2019-01-21,2.244483212955391
2019-01-22,2.225435796771402
2019-01-23,2.234153166636439
2019-01-24,2.2365493923378996
2019-01-25,2.232086817651285
2019-01-28,2.224775191828341
2019-01-29,2.2035609750463823
2019-01-30,2.1697470381653226
2019-01-31,2.145272512181691
2019-02-01,2.200084685109224
2019-02-11,2.263571640151921
2019-02-12,2.2846481312425517
2019-02-13,2.323951846998663
2019-02-14,2.324183316712374
2019-02-15,2.3248722945592393
2019-02-18,2.396761805496224
2019-02-19,2.3987562679603873
2019-02-20,2.408310208370965
2019-02-21,2.404178812117427
2019-02-22,2.448117351773467
2019-02-25,2.5563516212920327
2019-02-26,2.5526418224670877
2019-02-27,2.5447229035853636
2019-02-28,2.547898647687845
2019-03-01,2.5657639559420082
2019-03-04,2.6128399243406264
2019-03-05,2.6836044031753343
2019-03-06,2.726486901946391
2019-03-07,2.7546856728440106
2019-03-08,2.6415947331083167
2019-03-11,2.7399254349944973
2019-03-12,2.8057091113990937
2019-03-13,2.7581623748280855
2019-03-14,2.6879468743862027
2019-03-15,2.7371993584188115
2019-03-18,2.8075046327433837
2019-03-19,2.8124294368248717
2019-03-20,2.8080703597085814
2019-03-21,2.8394173352577035
2019-03-22,2.862778305574711
2019-03-25,2.840964177079491
2019-03-26,2.76352274422425
2019-03-27,2.7860232796947515
2019-03-28,2.750536683409502
2019-03-29,2.831193075346849
2019-04-01,2.9462970827550503
2019-04-02,2.9589796962270083
2019-04-03,2.985712627451969
2019-04-04,3.013205588998465
2019-04-08,3.018799304116759
2019-04-09,3.018092385211415
2019-04-10,3.025482364264988
2019-04-11,2.988155796236632
2019-04-12,2.981868589823095
2019-04-15,2.957072168004182
2019-04-16,3.0062815123199806
2019-04-17,3.021130523324941
2019-04-18,2.9913474650884884
2019-04-19,3.0036489992315683
2019-04-22,2.977997805929265
2019-04-23,2.9299350798462584
2019-04-24,2.9485231305668815
2019-04-25,2.8503517010865576
2019-04-26,2.795877545310192
2019-04-29,2.6959657348921766
2019-04-30,2.7256412542059234
2019-05-06,2.540584211536949
2019-05-07,2.5730052426906567
2019-05-08,2.554201021671211
2019-05-09,2.532640825407083
