left,right,rebalance_date,period,n_obs,spearman_rank_corr
ic_ir,rolling_48m,2019-08-30,train,478,0.8593113955008385
ic_ir,rolling_48m,2019-09-30,train,475,0.8643788919007636
ic_ir,rolling_48m,2019-10-31,train,476,0.8391868513224482
ic_ir,rolling_48m,2019-11-29,train,477,0.830546373188295
ic_ir,rolling_48m,2019-12-31,train,472,0.8169915881755693
ic_ir,rolling_48m,2020-01-23,train,475,0.8190507920750263
ic_ir,rolling_48m,2020-02-28,train,475,0.7876166626497287
ic_ir,rolling_48m,2020-03-31,train,474,0.8091998463160069
ic_ir,rolling_48m,2020-04-30,train,471,0.8782753153564329
ic_ir,rolling_48m,2020-05-29,train,473,0.8689281358744662
ic_ir,rolling_48m,2020-06-30,train,472,0.8775893154569416
ic_ir,rolling_48m,2020-07-31,train,472,0.8823924934227185
ic_ir,rolling_48m,2020-08-31,train,474,0.8797750437002806
ic_ir,rolling_48m,2020-09-30,train,473,0.8960043957073377
ic_ir,rolling_48m,2020-10-30,train,473,0.862739653888891
ic_ir,rolling_48m,2020-11-30,train,473,0.8661639964170349
ic_ir,rolling_48m,2020-12-31,train,470,0.8677801847757213
ic_ir,rolling_48m,2021-01-29,valid,469,0.8595373957529372
ic_ir,rolling_48m,2021-02-26,valid,469,0.8710627401885671
ic_ir,rolling_48m,2021-03-31,valid,469,0.8352997606716559
ic_ir,rolling_48m,2021-04-30,valid,469,0.8276694439033013
ic_ir,rolling_48m,2021-05-31,valid,470,0.827229840094801
ic_ir,rolling_48m,2021-06-30,valid,464,0.8145727694297885
ic_ir,rolling_48m,2021-07-30,valid,467,0.7862438430760241
ic_ir,rolling_48m,2021-08-31,valid,465,0.8349723433556839
ic_ir,rolling_48m,2021-09-30,valid,465,0.8384720815108924
ic_ir,rolling_48m,2021-10-29,valid,466,0.8165773512605419
ic_ir,rolling_48m,2021-11-30,valid,465,0.814285779928673
ic_ir,rolling_48m,2021-12-31,valid,458,0.8219558972103926
ic_ir,rolling_48m,2022-01-28,valid,457,0.7088377407559977
ic_ir,rolling_48m,2022-02-28,valid,457,0.6772332801144164
ic_ir,rolling_48m,2022-03-31,valid,459,0.712050697353855
ic_ir,rolling_48m,2022-04-29,valid,458,0.798688860489157
ic_ir,rolling_48m,2022-05-31,valid,456,0.797109630607673
ic_ir,rolling_48m,2022-06-30,valid,453,0.8121054398058506
ic_ir,rolling_48m,2022-07-29,valid,453,0.7636107500298571
ic_ir,rolling_48m,2022-08-31,valid,452,0.6112047274918663
ic_ir,rolling_48m,2022-09-30,valid,451,0.5621619136158232
ic_ir,rolling_48m,2022-10-31,valid,452,0.5059322688591777
ic_ir,rolling_48m,2022-11-30,valid,452,0.5708808607316277
