source_id,rebalance_date,period,n_columns,n_non_nan,nan_rate,universe_count,valid_universe_overlap_count,valid_universe_overlap_ratio,nonuniverse_valid_count,mean,std,skew,kurt,min,max,p01,p99
ic_ir,2019-04-30,train,1329,493,0.6290443942814146,500,493,0.986,0,0.0,1.0,-0.412509998506143,0.21424483833196462,-2.7734217215086967,2.8117622799030135,-2.7734217215086967,2.009546931927862
ic_ir,2019-05-31,train,1329,495,0.6275395033860045,500,495,0.99,0,1.4354398702224246e-17,1.0000000000000002,-0.35524140264053816,0.1428511738846594,-2.7190387005744867,2.798449664693132,-2.7190387005744867,2.1734414806224875
ic_ir,2019-06-28,train,1329,496,0.6267870579382995,500,496,0.992,0,2.865091676452017e-17,0.9999999999999999,-0.3043439684295392,0.16101460493244923,-2.7169362605321976,2.7197804219441317,-2.7169362605321976,2.2643269582064134
ic_ir,2019-07-31,train,1329,500,0.6237772761474794,500,500,1.0,0,1.4210854715202004e-17,0.9999999999999999,-0.34486161369302165,0.21546939084874905,-2.787942558537301,2.770874408271185,-2.787942558537301,2.0497948283111382
ic_ir,2019-08-30,train,1329,500,0.6237772761474794,500,500,1.0,0,-2.842170943040401e-17,0.9999999999999999,-0.2759499283052236,0.16448994160177266,-2.8696864569451606,2.6702060063922652,-2.8696864569451606,2.0362260538670895
ic_ir,2019-09-30,train,1329,497,0.6260346124905944,500,497,0.994,0,4.288990356700806e-17,1.0,-0.28688897302434424,0.32886647349424125,-2.9047044906314636,2.9328413790069465,-2.9047044906314636,2.152846954362111
ic_ir,2019-10-31,train,1329,497,0.6260346124905944,500,497,0.994,0,2.859326904467204e-17,1.0,-0.3939797721148391,0.1795368789994165,-2.7267806483983477,2.3728163359111023,-2.7267806483983477,2.120754552781697
ic_ir,2019-11-29,train,1329,499,0.6245297215951844,500,499,0.998,0,1.4239333381965934e-17,1.0000000000000002,-0.43264501975143466,0.22903109984961967,-2.7647820248288424,2.4267044805215296,-2.7647820248288424,1.9691035055168615
ic_ir,2019-12-31,train,1329,497,0.6260346124905944,500,497,0.994,0,7.14831726116801e-18,0.9999999999999999,-0.3471173877086723,0.13922417031502032,-2.726832034937649,2.5436120099937325,-2.726832034937649,2.0780639739439977
ic_ir,2020-01-23,train,1329,500,0.6237772761474794,500,500,1.0,0,-7.105427357601002e-18,1.0,-0.32547650427143887,0.17356592185658437,-2.5980520573889576,2.5506409832664487,-2.5980520573889576,2.076147224597177
ic_ir,2020-02-28,train,1329,500,0.6237772761474794,500,500,1.0,0,0.0,1.0,-0.2621099375355155,0.18478846193809684,-2.643914917299186,2.740116279137647,-2.643914917299186,1.9515112949028386
ic_ir,2020-03-31,train,1329,499,0.6245297215951844,500,499,0.998,0,2.1359000072948903e-17,1.0,-0.3314264215759378,0.22264507269377498,-2.6907665047407248,2.550911694193016,-2.6907665047407248,2.152597502795313
ic_ir,2020-04-30,train,1329,496,0.6267870579382995,500,496,0.992,0,3.581364595565021e-17,1.0,-0.2554020039066754,-0.10887054150863129,-2.964258902694437,2.4226068296319965,-2.440873599486461,2.159428452825873
ic_ir,2020-05-29,train,1329,498,0.6252821670428894,500,498,0.996,0,-2.140188963132832e-17,1.0,-0.249412266090853,-0.04051887798267062,-2.9551032780105646,2.4134865952049713,-2.4922007984480747,2.2478190520724026
ic_ir,2020-06-30,train,1329,498,0.6252821670428894,500,498,0.996,0,1.070094481566416e-17,1.0,-0.17094836977420227,0.012026294418511885,-2.722638150923274,2.5995215502454436,-2.4545883817111678,2.3363396351285743
ic_ir,2020-07-31,train,1329,498,0.6252821670428894,500,498,0.996,0,1.4267926420885545e-17,1.0,-0.19713994218050107,-0.01385278798658085,-2.905739495365775,2.5049250652250477,-2.56605423616179,2.16868505099702
ic_ir,2020-08-31,train,1329,500,0.6237772761474794,500,500,1.0,0,2.842170943040401e-17,1.0,-0.29435507734988664,0.47406908725869323,-2.7924243705732246,2.8464886521212267,-2.745611088027451,2.2683899343707195
ic_ir,2020-09-30,train,1329,499,0.6245297215951844,500,499,0.998,0,-2.1359000072948903e-17,0.9999999999999999,-0.23885361176039205,0.3774051952646622,-2.725038726193358,2.7657889807737353,-2.725038726193358,2.405972891528404
ic_ir,2020-10-30,train,1329,499,0.6245297215951844,500,499,0.998,0,-2.1359000072948903e-17,1.0,-0.3341792161320732,0.2980727574308957,-2.660674214806094,2.8027148159254462,-2.660674214806094,2.217794910442868
ic_ir,2020-11-30,train,1329,499,0.6245297215951844,500,499,0.998,0,-1.4239333381965934e-17,1.0,-0.35161192919361145,0.35344665402240505,-2.7205472253856406,2.865465905248924,-2.7205472253856406,2.312659423633874
ic_ir,2020-12-31,train,1329,498,0.6252821670428894,500,498,0.996,0,3.0319343644381786e-17,1.0,-0.4384286461875039,0.1831077090070985,-2.709351372811091,2.8661553891816016,-2.709351372811091,2.042806999137099
ic_ir,2021-01-29,valid,1329,498,0.6252821670428894,500,498,0.996,0,-1.070094481566416e-17,0.9999999999999999,-0.43617984094439066,0.27169371914201523,-2.795954414676645,2.921058572128039,-2.758759367421876,2.020837596252954
ic_ir,2021-02-26,valid,1329,498,0.6252821670428894,500,498,0.996,0,2.853585284177109e-17,1.0,-0.3825837643658769,0.35103516943596613,-2.746871883702877,2.8723103452618988,-2.746871883702877,2.0415666395367693
ic_ir,2021-03-31,valid,1329,498,0.6252821670428894,500,498,0.996,0,4.280377926265664e-17,1.0,-0.3614670707439207,0.19368306012936776,-2.665366067344672,2.7970146401638813,-2.665366067344672,2.229313130771024
ic_ir,2021-04-30,valid,1329,497,0.6260346124905944,500,497,0.994,0,1.429663452233602e-17,1.0,-0.1941247060157458,0.20318839589999138,-2.730338582377614,2.712545988532137,-2.6365465562684665,2.182485905355873
ic_ir,2021-05-31,valid,1329,498,0.6252821670428894,500,498,0.996,0,2.853585284177109e-17,1.0,-0.085728655316043,0.2585080289020194,-2.923100379784369,2.9322226589851605,-2.485439530680046,2.3108168473044226
